Nom,price,time,adress,Open,Close
Fontaine Gaillon,0.0,0.0,"Place Gaillon, 75002 Paris France",9.0,21.0
Statue Cheval a la Herse,0.0,0.0,"Quai Anatole France Musée d'Orsay, 75007 Paris France",9.0,21.0
La Statue de l'Acteur Grec,0.0,0.0,"69 boulevard Saint Michel À l'intérieur du Jardin du Luxembourg, 75005 Paris France",9.0,21.0
Les Blancs Manteaux,0.0,0.0,"15 rue des Blancs Manteaux, 75004 Paris France",18.3,21.0
Jardins de l'Hôpital Saint Louis,0.0,0.0,"12 Rue de la Grange aux Belles, 75010 Paris France",9.0,21.0
Petit Bain,0.0,3.0,"7 Port de la Gare, 75013 Paris France",9.0,21.0
Le Messager Zadkine,0.0,0.0,"Quay d'Orsay, 75007 Paris France",9.0,21.0
Artcurial,0.0,0.0,"7 Rond-Point des Champs-Élysées, 75008 Paris France",9.0,21.0
Square des Poètes Paris XVI,0.0,0.0,"1 Avenue du Général Sarrail, 75016 Paris France",9.0,21.0
Eglise Saint Joseph des Carmes,0.0,0.0,"70 Rue de Vaugirard, 75006 Paris France",9.0,21.0
Eglise Saint Antoine des Quinze Vingts,0.0,0.0,Tout afficher,9.0,21.0
American Musical Theatre LIVE! Paris,0.0,0.0,"24 rue Louis Blanc Diva's Kabaret, 75004 Paris France",9.0,21.0
La Statue d'Auguste Comte,0.0,0.0,"7 Place de la Sorbonne, 75005 Paris France",9.0,21.0
Rue de Lappe,0.0,0.0,"Rue de Lappe, 75011 Paris France",9.0,21.0
La Statue César,0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Lampadaires Colonnes Rostrales,0.0,0.0,"Place de la Concorde, 75008 Paris France",9.0,21.0
Theatre Le Bout,0.0,2.0,"6 rue Frochot, 75009 Paris France",9.0,21.0
Square Félix-Desruelles,0.0,2.0,"168 bis Boulevard Saint-Germain, 75006 Paris France",9.0,21.0
Statue Le Centaure Nessus Enlevant Dejanire,0.0,0.0,"Rue du Rivoli Jardin des Tuileries, 75001 Paris France",9.0,21.0
RER,0.0,0.0,Tout afficher,9.0,21.0
Statue de Jean Jacques Rousseau,0.0,0.0,"Place du Pantheon, 75005 Paris France",0.0,23.59
Angel Bear,0.0,0.0,"Place Napoleon III Gare du Nord, 75010 Paris France",9.0,21.0
Chapelle des Missions Étrangères de Paris,0.0,0.0,"128 R%ue de Bac, 75007 Paris France",9.0,21.0
Monument à Danton,0.0,0.0,"97 boulevard Saint Germain Place Henri Mondor, 75006 Paris France",9.0,21.0
Statue de Saint Denis,0.0,0.0,"7 Bis Rue Girardon, 75018 Paris France",9.0,21.0
Fontaines de la Place des Vosges,0.0,0.0,"Place des Vosges, 75004 Paris France",9.0,21.0
Square Boucicaut,0.0,0.0,"1 Rue de Babylone, 75007 Paris France",9.0,21.0
Statue de Marie Emile Fayolle,0.0,0.0,"Place Vauban, 75007 Paris France",9.0,21.0
Statue Le Nil,0.0,0.0,"Rue du Rivoli Jardin des Tuileries, 75001 Paris France",9.0,21.0
Institut d’Art et d’Archéologie,0.0,0.0,"3, rue Michelet Université de Paris, 75006 Paris France",9.0,21.0
Marché Buci,0.0,0.0,"Rue de Buci, 75006 Paris France",9.0,21.0
Square Alex Biscarre Paris IX,0.0,0.0,"31 Rue Notre Dame de Lorette, 75009 Paris France",9.0,21.0
Monument en hommage à Komitas,0.0,0.0,Tout afficher,9.0,21.0
Monument a Frederic Chopin,0.0,0.0,Tout afficher,9.0,21.0
Square Saint Eloi,0.0,0.0,"11 rue du Colonel Rozanoff, 75012 Paris France",9.0,21.0
Cour de L'industrie,0.0,0.0,"37 Bis Rue Montreuil, 75011 Paris France",9.0,21.0
Eglise Saint Leon,0.0,0.0,"1 Place du Cardinal Amette, 75015 Paris France",9.0,21.0
Galerie Bartoux,0.0,0.0,"5, avenue Matignon, 75008 Paris France",10.3,20.0
Bouquet de tulipes - Jeff Koons,0.0,0.0,"1 avenue Dutuit, 75008 Paris France",9.0,21.0
Lion de Belfort,0.0,0.0,"2 M Place Denfert Rochereau, 75014 Paris France",9.0,21.0
"La statue ""La Renommée Chevauchant Pégase""",0.0,0.0,"1 Jardin des Tuileries, 75001 Paris France",9.0,21.0
Sculpture La Jeunesse,0.0,0.0,Tout afficher,9.0,21.0
